vehicle_engine_id,vehicle_model_id,engine,hp,engine_code
159,20,2.0 TDI,110,DSRA
160,20,2.0 TDI,110,DSRB
161,20,2.0 TDI,110,DTSB
162,20,2.0 TDI,110,DTSA
163,21,2.0 TDI 4x4,110,CRLB
164,21,2.0 TDI 4x4,110,DFEA
165,21,2.0 TDI 4x4,110,DFGA
166,21,2.0 TDI,110,CRLB
167,21,2.0 TDI,110,DFEA
168,21,2.0 TDI,110,DFGA
169,21,2.0 TDI,110,DSRA
170,21,2.0 TDI,110,DSRB
171,21,2.0 TDI,110,DTSB
172,21,2.0 TDI,110,DTSA
173,22,2.0 TDI,110,DSRB
174,22,2.0 TDI,110,DFGA
175,22,2.0 TDI,110,DBGA
176,22,2.0 TDI,110,DSRA
177,22,2.0 TDI,110,DTSA
178,22,2.0 TDI,110,DTSB
179,22,2.0 TDI,110,DXPA
180,23,2.0 TDI 4motion,140,DFHA
181,24,2.0 TDI 4motion,110,CRBC
182,24,2.0 TDI 4motion,110,DCYA
183,24,2.0 TDI 4motion,110,CRLB
184,24,2.0 TDI 4motion,110,DFGA
185,25,2.0 TDI,81,DCYB
186,25,2.0 TDI,81,CRLD
187,25,2.0 TDI,81,CRVA
188,25,2.0 TDI,110,DFGA
189,25,2.0 TDI,110,DCYA
190,25,2.0 TDI,110,CRLB
191,26,2.0 TDi,110,DCYA
192,26,2.0 TDi,110,CRLB
193,26,2.0 TDi,110,CRBC
194,26,2.0 TDi 4motion,110,CRLB
195,26,2.0 TDi 4motion,110,CRBC
196,26,2.0 TDi 4motion,110,DCYA
197,27,2.0 TDI,81,DEJB
198,27,2.0 TDI,81,CYKB
199,27,2.0 TDI,81,DFGB
200,27,2.0 TDI,81,DCYB
201,27,2.0 TDI,81,CRVA
202,27,2.0 TDI,110,DFGA
203,27,2.0 TDI,110,CRMB
204,27,2.0 TDI,110,CRBC
205,27,2.0 TDI,110,DCYA
206,27,2.0 TDI,110,CRUA
207,27,2.0 TDI,110,CRLB
208,27,2.0 TDI,110,DEJA
209,27,2.0 TDI 4motion,110,CRMB
210,27,2.0 TDI 4motion,110,CRBC
211,27,2.0 TDI 4motion,110,DCYA
212,27,2.0 TDI 4motion,110,CRLB
213,27,2.0 TDI 4motion,110,CKFC
214,27,2.0 TDI 4motion,110,DFGA
215,28,2.0 TDi 4motion,110,CRBC
216,29,2.0 TDI,81,DEJB
217,29,2.0 TDI,81,CYKB
218,29,2.0 TDI,81,CRLD
219,29,2.0 TDI,81,CRVA
220,29,2.0 TDI,81,DCYB
221,29,2.0 TDI,81,DFGB
222,29,2.0 TDI 4motion,110,CRBC
223,29,2.0 TDI 4motion,110,DCYA
224,29,2.0 TDI 4motion,110,CRLB
225,29,2.0 TDI 4motion,110,DFGA
226,29,2.0 TDI,110,DFGA
227,29,2.0 TDI,110,CRBC
228,29,2.0 TDI,110,DCYA
229,29,2.0 TDI,110,CRUA
230,29,2.0 TDI,110,CRLB
231,29,2.0 TDI,110,DEJA
232,30,2.0 TDI 4motion,110,DFEA
233,30,2.0 TDI 4motion,110,CRLB
234,30,2.0 TDI 4motion,110,DFGA
235,31,2.0 TDI,110,DBGA
236,31,2.0 TDI,110,DFGA
237,31,2.0 TDI,110,CRLB
238,31,2.0 TDI,110,DSRA
239,31,2.0 TDI,110,DSRB
240,31,2.0 TDI,110,DTSB
241,31,2.0 TDI,110,DTSA
242,31,2.0 TDI 4motion,110,DFEA
243,31,2.0 TDI 4motion,110,CRLB
244,31,2.0 TDI 4motion,110,DFGA
245,31,2.0 TDI 4motion,110,DTSA
246,32,2.0 TDI,110,DBGA
247,32,2.0 TDI,110,DFGA
248,32,2.0 TDI,110,CRLB
249,32,2.0 TDI,110,DSRA
250,32,2.0 TDI,110,DSRB
251,32,2.0 TDI,110,DTSB
252,32,2.0 TDI,110,DTSA
253,32,2.0 TDI 4motion,110,DFEA
254,32,2.0 TDI 4motion,110,CRLB
255,32,2.0 TDI 4motion,110,DFGA
256,32,2.0 TDI 4motion,110,DTSA
257,33,2.0 TDI,110,DLTA
258,33,2.0 TDI,110,DFLA
259,33,2.0 TDI,110,CUVC
260,33,2.0 TDI 4motion,110,DLTA
261,33,2.0 TDI 4motion,110,DFLA
262,33,2.0 TDI 4motion,110,CUVC
263,33,2.0 TDI,85,DFLD
264,33,2.0 TDI,85,CUVA
265,33,2.0 TDI,85,CFFE
266,33,2.0 TDI,85,DLTC
267,34,2.0 TDI,110,DXRB
268,34,2.0 TDI,110,DFFA
269,34,2.0 TDI,110,DTTA
270,34,2.0 TDI,110,DTTC
271,34,2.0 TDI 4motion,110,DFFA
272,34,2.0 TDI 4motion,110,DTTC
273,34,2.0 TDI 4motion,110,DXRB
274,35,2.0 TDI 4motion,110,CUVC
275,35,2.0 TDI,110,CUVC
276,35,2.0 TDI,81,CUVE
277,35,2.0 TDI,81,CFFD
278,35,2.0 TDI,110,DFGA
279,35,2.0 TDI,110,DTSA
280,35,2.0 TDI,110,DTSB
281,35,2.0 TDI,85,DFGC
282,35,2.0 TDI 4motion,110,DBGC
283,35,2.0 TDI 4motion,110,DFGA
284,35,2.0 TDI 4motion,110,DTSA
285,35,2.0 TDI 4motion,110,DTSB
286,35,2.0 TDI,81,CYKC
287,36,2.0 TDI 4motion,110,DFGA
288,36,2.0 TDI 4motion,110,DBGC
289,36,2.0 TDI 4motion,110,DTSA
290,36,2.0 TDI 4motion,110,DTSB
291,36,2.0 TDI,110,DFGA
292,36,2.0 TDI,110,DTSA
293,36,2.0 TDI,110,DTSB
294,37,2.0 TDI,85,DFGC
295,37,2.0 TDI,110,DFEA
296,37,2.0 TDI,110,DFGA
297,37,2.0 TDI,110,DTSB
298,37,2.0 TDI,110,DXPA
299,37,2.0 TDI,81,CYKB
300,37,2.0 TDI,81,DFGB
301,37,2.0 TDI,81,DFEB
302,37,2.0 TDI,81,CRVA
303,38,330 d,150,M57 D30
304,38,330 xd,150,M57 D30
305,39,330 Cd,150,M57 D30
306,40,330 Cd,150,M57 D30
307,41,330 xd,150,M57 D30
308,41,330 d,150,M57 D30
309,42,3.0 d,150,M57 D30
310,43,1.6 HDi 90 16V,66,9HS
311,43,1.6 HDi 90 16V,66,9HX
312,43,1.6 HDi 110,80,9HZ
313,44,1.6 HDi 110,80,9HZ
314,44,1.6 HDi 90,66,9HX
315,44,1.6 HDi 90,66,9HV
316,45,1.6 HDi,80,9HZ
317,46,1.6 16V HDi,80,9HZ
318,47,1.6 HDi,80,9HZ
319,48,1.6 HDi,80,9HZ
320,48,1.6 HDi,80,9HY
321,48,1.6 HDi,66,9HX
322,48,1.6 HDi,66,9HV
323,49,1.6 HDi,80,9HZ
324,49,1.6 HDi,80,9HY
325,50,1.6 HDi,80,9HZ
326,50,1.6 HDi,80,9HY
327,50,1.6 HDi,85,9HY
