product_item_id,product_sku_id,sku,vehicle_make_id,title,make_name,vehicle_model_id,model_name,vehicle_engine_id,engine,hp,engine_code
1013,2,04L253010B,1,Turbina AUDI A3 Sportback 2.0 TDI 110 CP - Recondiţionată,Audi,5,A3 Sportback,38,2.0 TDI,110,DEJA
1013,2,04L253010B,1,Turbina AUDI A3 Sportback 2.0 TDI 110 CP - Recondiţionată,Audi,5,A3 Sportback,34,2.0 TDI,110,DFGA
1014,2,04L253010B,1,Turbina AUDI A3 Sportback 35 TDI 110 CP - Recondiţionată,Audi,5,A3 Sportback,41,35 TDI,110,DFGA
1015,2,04L253010B,1,Turbina AUDI A3 Sportback 2.0 TDI 100 CP - Recondiţionată,Audi,5,A3 Sportback,42,2.0 TDI,100,CRBD
1015,2,04L253010B,1,Turbina AUDI A3 Sportback 2.0 TDI 100 CP - Recondiţionată,Audi,5,A3 Sportback,43,2.0 TDI,100,CRLC
1016,2,04L253010B,1,Turbina AUDI Q2 2.0 TDI quattro 110 CP - Recondiţionată,Audi,6,Q2,44,2.0 TDI quattro,110,DFGA
1016,2,04L253010B,1,Turbina AUDI Q2 2.0 TDI quattro 110 CP - Recondiţionată,Audi,6,Q2,45,2.0 TDI quattro,110,DTTC
1017,2,04L253010B,1,Turbina AUDI Q2 2.0 TDI 110 CP - Recondiţionată,Audi,6,Q2,46,2.0 TDI,110,DFGA
1017,2,04L253010B,1,Turbina AUDI Q2 2.0 TDI 110 CP - Recondiţionată,Audi,6,Q2,47,2.0 TDI,110,DTTC
1018,2,04L253010B,1,Turbina AUDI Q2 35 TDI 110 CP - Recondiţionată,Audi,6,Q2,48,35 TDI,110,DFGA
1018,2,04L253010B,1,Turbina AUDI Q2 35 TDI 110 CP - Recondiţionată,Audi,6,Q2,49,35 TDI,110,DTTC
1018,2,04L253010B,1,Turbina AUDI Q2 35 TDI 110 CP - Recondiţionată,Audi,6,Q2,50,35 TDI,110,DXRB
1019,2,04L253010B,1,Turbina AUDI Q2 35 TDI quattro 110 CP - Recondiţionată,Audi,6,Q2,51,35 TDI quattro,110,DFGA
1019,2,04L253010B,1,Turbina AUDI Q2 35 TDI quattro 110 CP - Recondiţionată,Audi,6,Q2,52,35 TDI quattro,110,DTTC
1019,2,04L253010B,1,Turbina AUDI Q2 35 TDI quattro 110 CP - Recondiţionată,Audi,6,Q2,53,35 TDI quattro,110,DXRB
1020,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 100 CP - Recondiţionată,Audi,7,Q3,56,2.0 TDI,100,CFFA
1020,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 100 CP - Recondiţionată,Audi,7,Q3,55,2.0 TDI,100,CUVB
1020,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 100 CP - Recondiţionată,Audi,7,Q3,54,2.0 TDI,100,DFTB
1021,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 110 CP - Recondiţionată,Audi,7,Q3,57,2.0 TDI,110,CUVC
1021,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 110 CP - Recondiţionată,Audi,7,Q3,58,2.0 TDI,110,DBBA
1021,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 110 CP - Recondiţionată,Audi,7,Q3,59,2.0 TDI,110,DFTA
1022,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI quattro 110 CP - Recondiţionată,Audi,7,Q3,60,2.0 TDI quattro,110,CUVC
1022,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI quattro 110 CP - Recondiţionată,Audi,7,Q3,61,2.0 TDI quattro,110,DFTA
