product_item_id,product_sku_id,sku,title,stock_status,price,regular_price,b2b_price
1057,2,04L253010B,Turbina SKODA SUPERB III Estate 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1058,2,04L253010B,Turbina VW ARTEON 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1059,2,04L253010B,Turbina VW ARTEON SHOOTING BRAKE 2.0 TDI 4motion 140 CP - Recondiţionată,In stock,,,
1060,2,04L253010B,Turbina VW GOLF ALLTRACK VII Variant 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1061,2,04L253010B,Turbina VW GOLF SPORTSVAN VII 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1062,2,04L253010B,Turbina VW GOLF SPORTSVAN VII 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1063,2,04L253010B,Turbina VW GOLF VAN VII Variant 2.0 TDi 110 CP - Recondiţionată,In stock,,,
1064,2,04L253010B,Turbina VW GOLF VAN VII Variant 2.0 TDi 4motion 110 CP - Recondiţionată,In stock,,,
1065,2,04L253010B,Turbina VW GOLF VII 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1066,2,04L253010B,Turbina VW GOLF VII 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1067,2,04L253010B,Turbina VW GOLF VII 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1068,2,04L253010B,Turbina VW GOLF VII Van 2.0 TDi 4motion 110 CP - Recondiţionată,In stock,,,
1069,2,04L253010B,Turbina VW GOLF VII Variant 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1070,2,04L253010B,Turbina VW GOLF VII Variant 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1071,2,04L253010B,Turbina VW GOLF VII Variant 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1072,2,04L253010B,Turbina VW PASSAT ALLTRACK B8 Variant 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1073,2,04L253010B,Turbina VW PASSAT B8 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1074,2,04L253010B,Turbina VW PASSAT B8 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1075,2,04L253010B,Turbina VW PASSAT B8 Variant 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1076,2,04L253010B,Turbina VW PASSAT B8 Variant 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1077,2,04L253010B,Turbina VW SHARAN 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1078,2,04L253010B,Turbina VW SHARAN 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1079,2,04L253010B,Turbina VW SHARAN 2.0 TDI 85 CP - Recondiţionată,In stock,,,
1080,2,04L253010B,Turbina VW T-ROC 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1081,2,04L253010B,Turbina VW T-ROC 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1082,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1083,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1084,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1085,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1086,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 85 CP - Recondiţionată,In stock,,,
1087,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1088,2,04L253010B,Turbina VW TIGUAN 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1089,2,04L253010B,Turbina VW TIGUAN ALLSPACE 2.0 TDI 4motion 110 CP - Recondiţionată,In stock,,,
1090,2,04L253010B,Turbina VW TIGUAN ALLSPACE 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1091,2,04L253010B,Turbina VW TOURAN 2.0 TDI 85 CP - Recondiţionată,In stock,,,
1092,2,04L253010B,Turbina VW TOURAN 2.0 TDI 110 CP - Recondiţionată,In stock,,,
1093,2,04L253010B,Turbina VW TOURAN 2.0 TDI 81 CP - Recondiţionată,In stock,,,
1094,3,11657790326,Turbina BMW Seria 3 330 d 150 CP - Recondiţionată,In stock,,,
1095,3,11657790326,Turbina BMW Seria 3 330 xd 150 CP - Recondiţionată,In stock,,,
1096,3,11657790326,Turbina BMW Seria 3 Cabrio 330 Cd 150 CP - Recondiţionată,In stock,,,
1097,3,11657790326,Turbina BMW Seria 3 Coupe 330 Cd 150 CP - Recondiţionată,In stock,,,
1098,3,11657790326,Turbina BMW Seria 3 Break 330 xd 150 CP - Recondiţionată,In stock,,,
1099,3,11657790326,Turbina BMW Seria 3 Break 330 d 150 CP - Recondiţionată,In stock,,,
1100,3,11657790326,Turbina BMW X3 3.0 d 150 CP - Recondiţionată,In stock,,,
1101,4,0375J3,Turbina CITROEN BERLINGO Box Body/MPV 1.6 HDi 90 16V 66 CP - Recondiţionată,In stock,,,
1102,4,0375J3,Turbina CITROEN BERLINGO Box Body/MPV 1.6 HDi 110 80 CP - Recondiţionată,In stock,,,
1103,4,0375J3,Turbina CITROEN BERLINGO MULTISPACE 1.6 HDi 110 80 CP - Recondiţionată,In stock,,,
1104,4,0375J3,Turbina CITROEN BERLINGO MULTISPACE 1.6 HDi 90 66 CP - Recondiţionată,In stock,,,
1105,4,0375J3,Turbina CITROEN C2 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1106,4,0375J3,Turbina CITROEN C3 I 1.6 16V HDi 80 CP - Recondiţionată,In stock,,,
1107,4,0375J3,Turbina CITROEN C3 PICASSO 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1108,4,0375J3,Turbina CITROEN C4 Coupe 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1109,4,0375J3,Turbina CITROEN C4 Coupe 1.6 HDi 66 CP - Recondiţionată,In stock,,,
1110,4,0375J3,Turbina CITROEN C4 GRAND PICASSO I 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1111,4,0375J3,Turbina CITROEN C4 I 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1112,4,0375J3,Turbina CITROEN C4 I 1.6 HDi 85 CP - Recondiţionată,In stock,,,
1113,4,0375J3,Turbina CITROEN C4 I 1.6 HDi 66 CP - Recondiţionată,In stock,,,
1114,4,0375J3,Turbina CITROEN C4 I Saloon 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1115,4,0375J3,Turbina CITROEN C4 I Saloon 1.6 HDi 85 CP - Recondiţionată,In stock,,,
1116,4,0375J3,Turbina CITROEN C4 PICASSO I MPV 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1117,4,0375J3,Turbina CITROEN C5 II 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1118,4,0375J3,Turbina CITROEN C5 II Break 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1119,4,0375J3,Turbina CITROEN C5 II Estate Van 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1120,4,0375J3,Turbina CITROEN C5 III 1.6 HDi 110 80 CP - Recondiţionată,In stock,,,
1121,4,0375J3,Turbina CITROEN C5 III Break 1.6 HDi 110 80 CP - Recondiţionată,In stock,,,
1122,4,0375J3,Turbina CITROEN XSARA PICASSO 1.6 HDi 80 CP - Recondiţionată,In stock,,,
1123,4,0375J3,Turbina MAZDA 3 1.6 DI Turbo 80 CP - Recondiţionată,In stock,,,
1124,4,0375J3,Turbina MAZDA 3 1.6 MZ-CD 66 CP - Recondiţionată,In stock,,,
1125,4,0375J3,Turbina MAZDA 3 1.6 MZ-CD 80 CP - Recondiţionată,In stock,,,
1126,4,0375J3,Turbina MAZDA 3 Saloon 1.6 DI Turbo 80 CP - Recondiţionată,In stock,,,
1127,4,0375J3,Turbina MAZDA 3 Saloon 1.6 MZR CD 80 CP - Recondiţionată,In stock,,,
1128,4,0375J3,Turbina MINI MINI Cooper D 80 CP - Recondiţionată,In stock,,,
1129,4,0375J3,Turbina MINI MINI One D 66 CP - Recondiţionată,In stock,,,
1130,4,0375J3,Turbina MINI MINI CLUBMAN Cooper D 80 CP - Recondiţionată,In stock,,,
1131,4,0375J3,Turbina PEUGEOT 1007 1.6 HDi 80 CP - Recondiţionată,In stock,,,
