product_sku_id,sku,turbo_code_id,code
1,CF1AEF5F6D25,2,03F145701H VAG
1,CF1AEF5F6D25,11,03F145701H VW
1,CF1AEF5F6D25,3,03F145701HV VAG
1,CF1AEF5F6D25,4,03F145701HX VAG
1,CF1AEF5F6D25,5,03F145701K VAG
1,CF1AEF5F6D25,6,03F145701KV VAG
1,CF1AEF5F6D25,7,03F145701KX VAG
1,CF1AEF5F6D25,8,03F145701R VAG
1,CF1AEF5F6D25,9,03F145701RV VAG
1,CF1AEF5F6D25,10,03F145701RX VAG
1,CF1AEF5F6D25,1,9V202 ARTNR_Z_TCD
2,04L253010B,12,030TC11002000
2,04L253010B,17,04L253010B
2,04L253010B,18,04L253010BV
2,04L253010B,19,04L253010BX
2,04L253010B,20,04L253010T
2,04L253010B,21,04L253010TV
2,04L253010B,22,04L253010TX
2,04L253010B,23,04L253019Q
2,04L253010B,24,04L253019QV
2,04L253010B,25,04L253019QX
2,04L253010B,26,04L253020M
2,04L253010B,13,11002000
2,04L253010B,14,40002509
2,04L253010B,15,40006077
2,04L253010B,16,401TN100111
3,11657790326,69,11657790326
3,11657790326,70,11657790326G
3,11657790326,71,11657790326H
3,11657790326,72,11657790326K08
3,11657790326,73,11657790328
3,11657790326,74,11657790328D
3,11657790326,75,11657790328J
3,11657790326,76,11657790328K08
3,11657790326,77,11657794025
3,11657790326,27,728989*
3,11657790326,28,728989-0001
3,11657790326,29,728989-0002*
3,11657790326,30,728989-0003
3,11657790326,31,728989-0007
3,11657790326,32,728989-0009
3,11657790326,33,728989-0010
3,11657790326,34,728989-0015
3,11657790326,35,728989-0016
3,11657790326,36,728989-0018
3,11657790326,37,728989-0019
3,11657790326,38,728989-1
3,11657790326,39,728989-10
3,11657790326,40,728989-15
3,11657790326,41,728989-16
3,11657790326,42,728989-18
3,11657790326,43,728989-19
3,11657790326,44,728989-3
3,11657790326,45,728989-5001S
3,11657790326,46,728989-5002S*
3,11657790326,47,728989-5003*
3,11657790326,48,728989-5003S
3,11657790326,49,728989-5007*
3,11657790326,50,728989-5007S
3,11657790326,51,728989-5009*
3,11657790326,52,728989-5009S
3,11657790326,53,728989-5010*
3,11657790326,54,728989-5010S
3,11657790326,55,728989-5015*
3,11657790326,56,728989-5015S
3,11657790326,57,728989-5016*
3,11657790326,58,728989-5016S
3,11657790326,59,728989-5018*
3,11657790326,60,728989-5018S
3,11657790326,61,728989-5019*
